item_id,dyn_1,dyn_2,dyn_3,dyn_4,dyn_5,dyn_6,dyn_7,dyn_8,dyn_9,dyn_10,dyn_11,dyn_12,dyn_13,dyn_14,dyn_15,dyn_16
FOODS_1_147,-2.3207054,3.0793765,2.563137,6.7718625,-3.1974516,2.1540813,8.948639,-0.8655238,2.094936,3.6424954,0.7370484,2.683553,3.2016625,0.23333634,-4.0305533,1.4537406
HOUSEHOLD_2_258,-1.2970518,3.374401,2.956612,6.487819,-3.8451157,3.6056256,7.775273,-0.64108604,2.360187,2.8969057,0.32823017,1.9541903,4.6636167,0.12930018,-3.3517003,1.968324
HOBBIES_1_212,-1.3153565,3.3854783,2.9385154,6.5052934,-3.804266,3.5454836,7.8129916,-0.65216935,2.3404844,2.9128072,0.33522364,2.0031056,4.6200047,0.112276405,-3.3766925,1.973236
HOUSEHOLD_1_512,-1.3438963,3.3843808,2.9285188,6.514678,-3.7887485,3.5113153,7.8362126,-0.6584491,2.3394601,2.9290302,0.34629068,2.0220356,4.591307,0.11399849,-3.393611,1.9585466
HOUSEHOLD_1_018,-1.3943391,3.3798516,2.907959,6.531751,-3.7503672,3.4401226,7.888674,-0.67199445,2.3281,2.9591632,0.3650712,2.0660913,4.5301657,0.11322291,-3.4300745,1.94156
HOUSEHOLD_2_267,-1.449551,3.381148,2.8777814,6.5595245,-3.6834311,3.3281305,7.964041,-0.690088,2.299301,3.0059788,0.38448584,2.13919,4.4323363,0.09999826,-3.4825816,1.9256643
HOBBIES_1_214,-1.3923634,3.4117746,2.8829966,6.5514197,-3.681918,3.3581507,7.9187427,-0.68720263,2.290627,2.972607,0.36221683,2.1427407,4.4842496,0.075781,-3.4548209,1.9623522
HOBBIES_2_119,-1.4452411,3.4342086,2.8433425,6.5755153,-3.58823,3.2206073,7.98669,-0.71419823,2.2491357,3.0124066,0.3772003,2.2484808,4.389564,0.048399292,-3.512154,1.9590434
HOUSEHOLD_2_392,-1.5650961,3.416606,2.779002,6.5876665,-3.4436014,2.9866354,8.097338,-0.75784475,2.1886647,3.0921364,0.41704363,2.3832855,4.1892314,0.034464553,-3.6092954,1.9138755
HOUSEHOLD_2_158,-1.5004952,3.421711,2.820503,6.5990367,-3.560817,3.1480467,8.046153,-0.72510123,2.245598,3.050925,0.40635595,2.28223,4.322019,0.052364178,-3.5478992,1.9201303
HOUSEHOLD_2_202,-1.5314534,3.423832,2.8018994,6.6119084,-3.5263917,3.0864909,8.082191,-0.7353687,2.2337945,3.0744667,0.4207057,2.3212154,4.274134,0.047124147,-3.574442,1.9054601
HOUSEHOLD_2_290,-1.448057,3.4531603,2.8228774,6.583306,-3.5472891,3.1669142,7.9944377,-0.7240449,2.2315419,3.0165687,0.38292933,2.2920496,4.368401,0.02631094,-3.5214748,1.9577321
FOODS_2_318,-1.9453738,3.28045,2.6801717,6.704595,-3.3242483,2.6020303,8.4886055,-0.8280743,2.1821668,3.336732,0.582092,2.5250905,3.7424061,0.10362923,-3.840031,1.6868676
FOODS_1_084,-1.4920925,3.4497218,2.7975137,6.5999985,-3.4975483,3.0788288,8.050563,-0.7381253,2.2108138,3.0522323,0.4005124,2.3524818,4.3002295,0.02191322,-3.5617232,1.9423369
HOUSEHOLD_2_087,-1.5307349,3.4527652,2.776966,6.6178575,-3.4672277,3.0153005,8.092959,-0.7474058,2.2039313,3.0791209,0.42044255,2.3889055,4.248275,0.017663646,-3.5923584,1.9200983
FOODS_3_315,-2.4829593,3.1333454,2.445633,6.7748513,-2.8855793,1.7254404,9.065468,-0.93941504,1.9598334,3.7351122,0.7833393,2.987252,2.9420614,0.15944041,-4.1785274,1.4718508
HOUSEHOLD_2_138,-1.446324,3.483402,2.7991443,6.5882883,-3.4888947,3.100227,8.001615,-0.7358548,2.2033556,3.0206652,0.3819833,2.357519,4.3471684,-0.0020267144,-3.536878,1.9737896
HOUSEHOLD_2_412,-1.5519652,3.455691,2.762602,6.624405,-3.4409878,2.9715679,8.116333,-0.75410795,2.1942632,3.093821,0.42968416,2.4193125,4.217888,0.012112575,-3.6091654,1.9134765
