item_id,cluster,pattern,mean_demand,std,lead_time,safety_stock,reorder_point,policy_description,pattern_policy_type,recommended_service_level,holding_cost_weight,shortage_cost_weight,safety_stock_opt,reorder_point_opt,order_up_to_level_opt,optimal_order_qty,estimated_total_cost
FOODS_1_147,5,intermittent,0.0547945205479452,0.6309423215767904,7.0,3.305246619545501,3.6888082633811177,Intermittent demand → moderate safety stock,conservative_replenishment,0.9,0.8,4.0,2.1367,2.5203,3.7889,31.6228,16.8823
HOUSEHOLD_2_258,0,burst,0.09863013698630137,0.35722263146380573,7.0,2.183232387191179,2.8736433460952884,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,1.7768,2.4672,3.8936,37.9473,22.8938
HOBBIES_1_212,0,burst,0.12054794520547946,0.3424856233886454,7.0,2.093164428203962,2.937000044642318,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,1.7035,2.5474,4.0968,41.9524,24.7346
HOUSEHOLD_1_512,0,burst,0.14794520547945206,0.47466286157034326,7.0,2.900990142003968,3.9366065803601322,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,2.361,3.3966,5.4102,46.4758,28.4469
HOUSEHOLD_1_018,4,burst,0.16712328767123288,0.8688844045008269,7.0,5.3103482409784855,6.480211254677116,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,4.3218,5.4917,8.4517,49.3964,34.2333
HOUSEHOLD_2_267,0,burst,0.2273972602739726,0.777651485891306,7.0,4.752761332584456,6.344542154502265,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.868,5.4598,8.6538,57.6194,37.3437
HOBBIES_1_214,0,burst,0.23013698630136986,0.5310897286377515,7.0,3.2458534088817803,4.856812312991369,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,2.6416,4.2526,6.9578,57.9655,34.8109
HOBBIES_2_119,0,burst,0.2876712328767123,0.5517069430013486,7.0,3.3718593395469796,5.3855579696839655,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,2.7442,4.7579,7.9083,64.8074,38.4581
HOUSEHOLD_2_392,0,burst,0.3424657534246575,0.5980549536060563,7.0,3.65512380523728,6.052384079209883,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,2.9747,5.372,9.0014,70.7107,41.9184
HOUSEHOLD_2_158,0,burst,0.34794520547945207,0.693000640042417,7.0,4.235401983029506,6.6710184213856705,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.447,5.8826,9.746,71.2741,43.2421
HOUSEHOLD_2_202,0,burst,0.3917808219178082,0.7205296862392762,7.0,4.403650856285887,7.146116609710544,Burst demand → higher safety stock,buffered_replenishment,0.97,1.0,6.0,3.5839,6.3264,10.5534,75.6307,45.7224
